Date,WIG_BANKI_Open,WIG_BANKI_High,WIG_BANKI_Low,WIG_BANKI_Close,WIG_BANKI_Volume,WIG_PALIWA_Open,WIG_PALIWA_High,WIG_PALIWA_Low,WIG_PALIWA_Close,WIG_PALIWA_Volume
6/7/2009,3658.81,3896.96,3658.81,3825.59,33475039,2226.82,2398.17,2213.96,2353.24,38257516
6/14/2009,3740.95,3935.59,3722.48,3935.59,36501614,2333.79,2419.79,2274.03,2419.79,22053264
6/21/2009,3857.98,3913.67,3810.75,3913.67,33321501,2362.11,2372.55,2132.73,2223.35,45514809
6/28/2009,3830.23,3830.23,3683.39,3705.56,25603402,2158.53,2158.53,2021.62,2040.72,29593118
7/5/2009,3738.95,3812.43,3668.04,3668.04,22283729,2050,2086.86,1991.47,1991.47,32717278
7/12/2009,3637.51,3702.23,3534.34,3551.48,20582567,1967.26,2004.18,1941.42,1941.42,27229088
7/19/2009,3516.74,3998.79,3516.74,3991.94,41689392,1931.55,2103.58,1931.55,2035.88,25694549
7/26/2009,4113.06,4469.97,4113.06,4469.97,29950547,2111.36,2265.8,2111.36,2242.48,21951507
8/2/2009,4528.57,4765.78,4346.33,4763.16,34602396,2227.27,2279.88,2141.02,2252.4,18098355
8/9/2009,4861.64,4861.64,4511.13,4676.94,44048790,2267.3,2279.83,2160.39,2244.11,28320373
8/16/2009,4666.08,4759.02,4503.45,4677.79,32982135,2235.25,2280.45,2153.22,2158.68,31316310
8/23/2009,4474.25,5045.9,4474.25,5045.9,37979428,2095.65,2262.72,2091.96,2262.72,31179706
8/30/2009,5127.87,5403.79,5093.36,5129.14,32117178,2286.36,2348.63,2268.87,2268.87,27100820
9/6/2009,5143.32,5149.69,4782.6,4827.61,29052074,2244.58,2248.68,2111.87,2111.87,37004911
9/13/2009,4937.07,5074.12,4914.09,4914.09,22057713,2154.77,2212.71,2140.93,2140.93,22711844
9/20/2009,4764.36,5003.08,4764.36,4981.08,31118011,2085.83,2161.62,2079.8,2134.8,34642623
9/27/2009,4988.57,5423.14,4962.51,5336.04,38223958,2150.12,2270.25,2143.51,2261.38,24311820
10/4/2009,5322.38,5348.65,5155.29,5155.29,34721174,2278.31,2338.35,2164.22,2164.22,38911456
10/11/2009,5157.95,5356.72,5132.59,5325.56,21323707,2180.12,2242.27,2148.35,2213.26,39640591
10/18/2009,5391.99,5590.21,5335.19,5471.76,42276732,2220.96,2276.77,2196.18,2276.77,63209776
10/25/2009,5527.24,5827.56,5527.24,5822,30542089,2309.09,2387.4,2309.09,2380.44,48981585
11/1/2009,5731.47,5742.77,5372.41,5472.12,30318089,2337.7,2360.54,2255.58,2255.58,41156493
11/8/2009,5474.92,5635.73,5284.15,5594.41,43336943,2214.34,2234.79,2173.68,2210.26,32941091
11/15/2009,5697.76,5931.74,5697.76,5874.82,30572846,2243.87,2332.81,2243.87,2292.55,33273267
11/22/2009,6043.06,6119.36,5771.34,5823.76,28416454,2347.66,2359.99,2268.97,2301.74,30503641
11/29/2009,5906.56,6018.71,5696.89,5736.6,26336934,2331.41,2370.85,2267.19,2293.19,36497211
12/6/2009,5778.1,6105.91,5778.1,6105.91,29940732,2304.14,2379.64,2304.14,2377.19,27077375
12/13/2009,6049.13,6075.14,5723.91,5813.32,28462894,2381.52,2393.89,2321.36,2321.36,26178428
12/20/2009,5877.9,5934.6,5824.44,5840.78,25278428,2341.26,2375.11,2322.74,2335.62,35921363
12/27/2009,5859.14,5902.78,5853.48,5888.39,12884703,2337.59,2408.76,2337.59,2408.76,10380190
1/3/2010,5953.19,5953.19,5869.1,5869.1,16905906,2442.2,2471.01,2435.46,2435.46,22026498
1/10/2010,5952.83,6086.95,5952.83,6041.94,21695930,2501.68,2607.48,2501.68,2563.91,34597308
1/17/2010,6107.51,6128.7,6071.54,6078.24,26989951,2602.07,2621.05,2558.3,2564.43,34889157
1/24/2010,6088.35,6264.05,6070.43,6070.43,40210337,2567.57,2611.01,2496.58,2496.58,28823285
1/31/2010,6102.05,6102.05,5929.95,6012.89,37518193,2516.46,2528.45,2434.74,2480.91,29445398
2/7/2010,5973.02,5997.88,5506.56,5506.56,29614128,2474.13,2527.23,2286.64,2286.84,33811617
2/14/2010,5558.56,5622.06,5440.9,5585.82,28766207,2313.56,2352.94,2265.37,2287.94,33060836
2/21/2010,5689.92,5788.59,5596.14,5596.14,24412178,2300.15,2372.38,2300.15,2328.88,36821478
2/28/2010,5635.78,5659.32,5479.1,5635.11,22230707,2336.85,2363.38,2294.16,2345.69,26759549
3/7/2010,5659.5,5893.95,5630.77,5893.95,23399735,2349.76,2477.75,2344.14,2477.75,42627106
3/14/2010,5919.93,6025.04,5888.5,5964.64,22092749,2504.08,2599.26,2485.98,2568.34,51518378
3/21/2010,5926.1,6130.65,5915.9,6011.56,35787045,2555.73,2722.23,2544.86,2654.42,78989714
3/28/2010,5965.22,6182.9,5953.1,6162.71,23145405,2636.23,2731.23,2636.23,2687.73,54691552
4/4/2010,6197.02,6367.68,6115.04,6367.68,19938130,2699.92,2707.08,2675.71,2693.82,23351915
4/11/2010,6423.42,6469.81,6332.76,6420.43,22762989,2733.3,2734.03,2640.74,2666.78,29703260
4/18/2010,6433.67,6642.69,6433.67,6606.61,36196618,2685.21,2732.65,2670.36,2725.77,30617635
4/25/2010,6405.08,6578.1,6258.51,6335.39,28385565,2685.27,2693.04,2614.11,2628.05,23992678
5/2/2010,6427.08,6481.28,6162.14,6434.68,34858277,2695.87,2730.42,2619.13,2721.98,24674774
5/9/2010,6292.76,6292.76,5880.52,5880.52,29449087,2681.68,2681.68,2480.39,2480.39,33654516
5/16/2010,6239.26,6268.59,6095.06,6095.06,24086476,2601.93,2667.35,2592.08,2592.08,35763489
5/23/2010,6129.62,6244.32,5794.23,5883.36,32747924,2615.57,2692.19,2471.28,2504.28,35771878
5/30/2010,5901.58,6262.14,5772.07,6262.14,29748577,2495.84,2644.36,2467.42,2644.36,79104275
6/6/2010,6234.76,6307.98,5921.79,5981.17,18101450,2648.25,2673.79,2582.75,2612.55,41381351
6/13/2010,5862.86,6069.92,5846.86,6030.91,26054716,2573.69,2610.99,2572.53,2602.28,49126475
6/20/2010,6125.12,6137.5,5918.17,5991.77,24183661,2659.45,2679.01,2636.75,2654.79,52871773
6/27/2010,6077.06,6091.21,5899.39,5963.9,21004247,2683.51,2683.51,2582.28,2589.41,28088813
7/4/2010,6001.88,6001.88,5723.86,5801.24,19880965,2587.99,2587.99,2471.06,2555.32,48620148
7/11/2010,5792.53,5930.7,5785.62,5886.48,16678622,2533.19,2571.85,2532.38,2568.76,36395811
7/18/2010,5907.63,6099.4,5907.63,6038.3,23175170,2589.5,2658.4,2589.5,2641.2,36379333
7/25/2010,6035.2,6194.52,5966.09,6176.83,24880359,2622.12,2740.62,2608.12,2740.62,51225022
8/1/2010,6215.45,6308.74,6059.83,6124.18,19215532,2737.53,2747.97,2686.5,2703.14,56947868
8/8/2010,6242.19,6374.93,6242.19,6295.02,17411105,2743.72,2845.06,2743.72,2834.71,39945134
8/15/2010,6304.26,6304.26,6018.89,6018.89,13250502,2833.21,2833.21,2684.15,2684.75,37744100
8/22/2010,6043.35,6167.44,5995.79,6013.03,14117202,2695.22,2754.24,2658.32,2671.03,30864158
8/29/2010,6030.12,6051.54,5830.96,5947.57,21978787,2699.92,2701.82,2612.53,2677.91,30609243
9/5/2010,5965.37,6050.15,5821.74,6046.83,20407099,2682.44,2735.64,2609.44,2735.64,43868888
9/12/2010,6052.57,6218.29,6052.57,6168.26,20069548,2752.44,2799.01,2736.28,2776.64,35691582
9/19/2010,6309.12,6309.12,6238.16,6302.96,47640426,2802.01,2807.34,2743.13,2743.13,74722816
9/26/2010,6300.99,6688.64,6300.99,6688.64,50541783,2749.48,2771.09,2708.86,2747.92,27720737
10/3/2010,6681.98,6706.49,6566.68,6668.39,32526099,2734.85,2759.84,2710.69,2753.87,67790902
10/10/2010,6681.57,6868.01,6681.57,6757.48,30772203,2721.95,2848.81,2721.95,2796.1,61976913
10/17/2010,6766.7,6961.49,6728.65,6880.75,22182262,2807.14,2863.98,2796.76,2815.06,39716878
10/24/2010,6916.53,7071.64,6839.64,7025.51,19735968,2802.5,2815.15,2758.81,2815.15,43459420
10/31/2010,7025.63,7032.8,6919.14,7032.8,22239264,2832.35,2871.26,2822.14,2866.44,43672321
11/7/2010,7085.02,7253.33,7085.02,7230,26787438,2893,3063.53,2893,3060.64,51716204
11/14/2010,7223.92,7269.51,7111.15,7212.76,20637013,3044.33,3101.74,3000.98,3033.4,43772121
11/21/2010,7169.31,7195.23,6843.4,6852.76,23812741,3029.45,3029.45,2933.82,2950.47,41149288
